Supplementary Data Sheet 1 Trait values for the 7686 rice varieties studied.,,,,,,,,,,,,,
Varieties,Ecotype,Province of release,Year of release,Yield (t/ha),Growth period (d),Height (cm),Pannicle length (cm),Panicle number (million/ha),Seed setting rate (%),1000-grain-weight (g),Grains per panicle,Seed length/width ratio,Filled grain number
jin you 899,Indica hybrid,Hunan,2004,7.4682,113.1,90,21,3.36,80,27,120,3.6,96
wei tian 9 hao ,Indica hybrid,Chongqing,2004,7.2945,161,107.5,NA,2.226,84,29.3,NA,2.8,NA
zhu liang you 505,Indica hybrid,Hunan,2004,7.2795,109,88,NA,3.255,81,27.1,102.1,3.2,82.701
��you 899,Indica hybrid,Hunan,2004,7.3968,114,90,19,3.3,89,26,116,2.9,103.24
��you 998,Indica hybrid,Guangdong,2004,6.4215,117.55,103.95,23.2,2.7225,79.15,24.85,138.6,NA,109.7019
yi xiang 9303,Indica hybrid,Chongqing,2004,7.74135,163.1,111.7,27,NA,81.3,28.2,NA,3,NA
yu you 11 hao ,Indica hybrid,Chongqing,2004,9.69,160.5,105,27,NA,NA,26,NA,3.1,NA
jin dao 1 hao ,Indica hybrid,Guangdong,2004,6.564,121.85,109.55,23.25,2.805,74.45,26.35,146,NA,108.697
xi nong you 7 hao ,Indica hybrid,Chongqing,2004,8.7789,160,117,NA,NA,86,27.2,NA,2.3,NA
hua liang you 103,Indica hybrid,Hubei,2004,6.58875,112.6,91.2,21.2,3.3,83.2,25.64,108.4,3.4,90.2
yi you 29,Indica hybrid,Hubei,2004,8.30985,132.4,115.4,25.6,2.805,79.3,27.32,150.1,3.2,119.1
liang you 277,Indica hybrid,Hubei,2004,7.51755,116,101.7,22.6,3.675,82.2,22.91,114.6,2.9,95.3
jin you 179,Indica hybrid,Hunan,2004,8.055,133,116.1,27,2.85,81.2,28,157.3,3.3,127.7276
��you 640,Indica hybrid,Hunan,2004,8.2725,140,112.9,25,NA,88.7,NA,153.9,2.65,136.5093
fu you 527,Indica hybrid,Hunan,2004,8.9025,141,112,26,2.25,83.5,27,176,2.5,146.96
xie you 716,Indica hybrid,Hunan,2004,8.0205,140,117.1,NA,2.475,87,32.1,NA,3.1,NA
Kyou 954,Indica hybrid,Anhui,2004,8.826,132,110,NA,NA,80,26.5,NA,NA,NA
xie you 978,Indica hybrid,Anhui,2004,8.769,120,92,NA,NA,80,28,120,NA,96
Kyou 583,Indica hybrid,Anhui,2004,8.577,120,100,NA,NA,78,30,NA,NA,NA
xiang you 63,Indica hybrid,Guangdong,2004,6.7725,111.15,103.25,22.9,2.9025,79,28.95,NA,NA,NA
wan dao 135,Indica hybrid,Anhui,2004,8.6775,121,95,NA,NA,80,27,115,NA,92
shan you 456,Indica hybrid,Guizhou,2004,7.83,152.5,102.3,NA,2.295,73.2,28.4,NA,2.4,127.6
shan you 608,Indica hybrid,Guizhou,2004,7.437,152.6,97.6,NA,2.535,74.2,27.2,NA,2.3,119.7
zhen you 2020,Indica hybrid,Guizhou,2004,7.77,152.86,108.16,NA,2.7825,73.74,30.76,NA,3.1,105.58
nei xiang you 14 hao ,Indica hybrid,Guizhou,2004,7.449,150.19,111.22,NA,2.6355,75.24,32.62,NA,3.7,106.97
qian you lian he 9 hao ,Indica hybrid,Guizhou,2004,7.9875,153,106.35,NA,2.55,74.83,28,NA,2.6,117.11
qian you 301,Indica hybrid,Guizhou,2004,7.7025,149,98,NA,2.7,72,26.7,NA,2.9,103.8
qian xiang you 2000,Indica hybrid,Guizhou,2004,7.5255,145.9,94,NA,3,73.8,27,NA,3,95.5
qian liang you 58,Indica hybrid,Guizhou,2004,7.9725,147.5,95.6,NA,3,76.1,28,NA,3,104.06
nei xiang you 6 hao ,Indica hybrid,Yunnan,2004,11.175,163.5,115,23.7,NA,71.2,29,NA,2.6,NA
zhong 9you 663,Indica hybrid,Guangdong,2004,8.55315,127,107.31,25.15,NA,83.975,26.775,NA,NA,NA
ming you 527,Indica hybrid,Fujian,2004,8.6025,170,130,25,NA,84,29,185,2.5,155.4
shan you ming 100,Indica hybrid,Fujian,2004,6.8145,130,100,23,NA,82,27.5,NA,2.4,NA
Tyou 7882,Indica hybrid,Fujian,2004,7.1025,126,95,21,NA,80,25,NA,2.6,NA
te you 6355,Indica hybrid,Fujian,2004,7.056,147.5,105,24,NA,85,28,140,2.5,119
te you hang 1 hao ,Indica hybrid,Zhejiang,2004,8.757,138.9,NA,NA,2.13,90,30.3,NA,NA,130.1
zhu liang you 02,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,7.38465,113.6,94.6,20,3.36,85.7,25.8,102.3,3.1,87.6711
xie you 527,Indica hybrid,Guangdong,2004,6.1755,115.95,104.2,23.75,2.6925,79.5,32.4,114.5,NA,91.0275
nei xiang you 3 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.4819,150.3,114.2,25.2,2.61,78.2,30.1,145.6,3.1,113.8592
yi xiang 3003,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.72055,153.1,115.3,26.2,2.7,78.4,29.9,142.6,3,111.7984
guo dao 1 hao ,Indica hybrid,Jiangxi,2004,7.53255,123.7,118.9,NA,2.49,NA,27.5,152.6,3.3,116.9
Tyou 6135,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.6336,121.3,108.1,24.7,2.535,73.8,25,165.9,3.2,122.4342
feng you xiang zhan ,Indica hybrid,Henan,2004,7.7985,145,115,24,NA,85,28,NA,3.5,NA
hong lian you 6 hao ,Indica hybrid,Jiangxi,2004,7.8342,126.4,115.4,NA,2.595,77.7,27,156.3,3.3,121.5
zhong 9you 838xuan ,Indica hybrid,Guizhou,2004,8.5695,150.4,110,NA,NA,85,28,170,NA,144.5
tian you 428,Indica hybrid,Guangdong,2004,6.5142,121,111.28,23.4,NA,81.35,28,132.44,3,107.73994
lv you 1 hao ,Indica hybrid,Anhui,2004,9.1725,143,120,NA,NA,80,26.5,NA,NA,NA
jin you 2155,Indica hybrid,Guangxi,2004,8.3385,117,121.5,NA,2.58,85.4,28.1,147.4,3,125.8796
yue you 938,Indica hybrid,Jiangxi,2004,8.04945,129.9,114.2,NA,2.7,74.9,26.5,161.8,3.4,121.2
efu feng you 11,Indica hybrid,Jiangxi,2004,7.11945,127.5,118,NA,2.55,NA,25.5,154.2,3.2,110.1
xian nong 22 hao ,Indica hybrid,Jiangxi,2004,7.7433,117.3,108.6,NA,2.64,81.1,27,132.7,3.3,107.6
fo shan you zhan ,Indica inbred,Guangdong,2004,6.51015,114,96.4,20,3.285,80.95,19.6,130,NA,105.235
ye huang zhan ,Indica inbred,Guangdong,2004,6.81855,121,98.1,19.7,3.285,85.45,20.2,120.3,NA,102.79635
feng si zhan ,Indica inbred,Guangdong,2004,6.78045,125.5,101.2,20,3.4875,78.8,21.4,113.7,NA,89.5956
fu you 4 hao ,Indica hybrid,Sichuan,2004,8.4864,155,115,24.2,2.6895,85.8,26.5,NA,2.1,NA
jin you 966,Indica hybrid,Guangxi,2004,7.5315,120,112.4,24.7,2.7,79.3,29.9,127.7,3.3,101.2661
��you 1259,Indica hybrid,Fujian,2004,9.099,147,120,26,NA,90,29,165,2.2,148.5
zhong you 936,Indica hybrid,Sichuan,2004,7.7616,150,111,25.7,2.25,73.6,27.6,NA,3,NA
mian 5you 527,Indica hybrid,Chongqing,2004,7.50795,165,115,NA,2.4,80,28.85,NA,3.2,NA
wu you 308,Indica hybrid,Guangdong,2004,8.42625,120,92.87,21.28,NA,89.845,23.97,NA,NA,NA
Dqi bao you 527,Indica hybrid,Fujian,2004,7.03125,129,110,23,NA,85,29,135,3,114.75
yi xiang 3003,Indica hybrid,Chongqing,2004,7.0275,167,113,26,2.4,83.5,NA,NA,3.2,127.1
guo dao 1 hao ,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.6978,120.6,107.8,25.6,2.67,73.5,27.9,142,3.4,104.37
yue you 9113,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,6.5757,113.5,92.7,22.7,3.39,80.3,25.5,107.8,3.4,86.5634
feng you xiang zhan ,Indica hybrid,Shaanxi,2004,8.586,158,126.5,24.24,2.6865,73.39,27.39,192.8,3.1,141.67
yang liang you 6 hao ,Indica hybrid,Henan,2004,9.576,145,113,25,NA,85,28.5,NA,3.1,NA
hong lian you 6 hao ,Indica hybrid,Guangxi,2004,7.5315,129.5,120.5,21.9,2.595,78.2,27.4,143.4,3,112.1388
jin gu 202,Indica hybrid,Chongqing,2004,7.257,155,111,NA,NA,87.3,NA,NA,3,NA
zhong 9you 838xuan ,Indica hybrid,Guizhou,2004,9.315,156.5,99,22.8,NA,78.8,27.49,105,NA,82.74
T78you 2155,Indica hybrid,Guangdong,2004,7.6332,122,116.6,31.7,NA,86.74,25.63,NA,NA,NA
yi xiang 2308,Indica hybrid,Jiangsu,2004,9.699,148,120,NA,2.55,80,28,NA,3.4,130
gu you 527,Indica hybrid,Fujian,2004,6.7101,130,100,23,NA,85,28,NA,2.8,NA
chuan xiang 8 hao ,Indica hybrid,Sichuan,2004,8.0625,154,116,25,2.49,77.2,28,NA,2.7,NA
��you 416,Indica hybrid,Hunan,2004,8.4165,140,110,NA,2.25,87,28,162.5,2.3,141.375
yue you 9113,Indica hybrid,Hunan,2004,8.00175,113,92.5,NA,3.45,80,26.5,110,3.4,88
feng you xiang zhan ,Indica hybrid,Yunnan,2004,10.08,163.5,105,21.7,NA,84,29.4,NA,3.5,NA
yi xiang 725,Indica hybrid,Sichuan,2004,8.0334,151.5,117,26.39,2.3715,78.67,30.24,NA,3,NA
yi xiang 2308,Indica hybrid,Sichuan,2004,7.58925,152,121.5,27,2.439,79.94,29.16,NA,3.2,NA
yi xiang 2292,Indica hybrid,Jiangxi,2004,7.5894,126.1,123.4,NA,2.625,77.6,29.9,128.9,3.4,100
yue you 9113,Indica hybrid,Hubei,2004,7.7334,117.2,90.1,22.9,3.885,78.2,26.01,105,3.6,82.1
feng you xiang zhan ,Indica hybrid,Hubei,2004,8.2218,137.3,120.4,23.3,2.535,82.2,27.41,166.9,3.2,137.2
wan dao 87,Indica hybrid,Henan,2004,10.0005,135,126,NA,NA,85,29,190,2.9,161.5
jin you 117,Indica hybrid,Jiangxi,2004,7.7037,122.8,118.9,NA,2.475,75.3,29.1,148.8,3.6,112.1
yi xiang 99E-4,Indica hybrid,Sichuan,2004,8.0427,152,120,26.7,2.4975,75.7,29.4,NA,3,118.4
Dyou 202,Indica hybrid,Sichuan,2004,8.2188,153,115,25.3,2.682,81.9,29.9,NA,3,NA
yi xiang 2292,Indica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2004,8.56335,136.3,120.7,26.1,2.64,76.2,29.9,138.2,3.2,105.3084
wan dao 87,Indica hybrid,Hubei,2004,8.4315,133,112.9,23,2.7,81.7,27.9,152.4,3.1,124.5
jin you 117,Indica hybrid,Guizhou,2004,9.132,156.5,105,27,2.85,79.4,31,NA,NA,NA
jin you 117,Indica hybrid,Shaanxi,2004,11.004,154,120,26.74,NA,79,29,NA,NA,NA
jin dao 9901,Japonica inbred,Tianjin,2004,8.2995,145,100,18,NA,90,25,NA,1.9,NA
jin dao 291,Japonica inbred,Tianjin,2004,8.9265,145,NA,23.3,NA,88,22.2,NA,NA,NA
jin yuan 27,Japonica inbred,Tianjin,2004,8.52,175,110,20.2,NA,90,24,NA,NA,NA
hua yu 446,Japonica inbred,Tianjin,2004,7.798875,167.5,110,21,3.75,95,25.5,NA,1.6,NA
yu quan 39,Japonica inbred,Tianjin,2004,7.2837,170,105,22,NA,NA,25,NA,NA,140
jing dao 25,Japonica inbred,Tianjin,2004,8.4705,157.5,107.5,20.5,NA,87.5,26.5,NA,2.15,NA
zhen hui 084,Indica inbred,Jiangsu,2004,9.1575,141,115,NA,2.55,93,28.5,NA,3.1,120
yang fu xian6 hao ,Indica inbred,Jiangsu,2004,9.2715,142,120,NA,2.1,92,30,NA,3,155
huai dao 8 hao ,Japonica inbred,Jiangsu,2004,8.964,155,100,NA,3.3,92,27,NA,NA,105
huai dao 7 hao ,Japonica inbred,Jiangsu,2004,9.7725,150,95,NA,3.3,90,27,NA,NA,110
yang fu jing 7 hao ,Japonica inbred,Jiangsu,2004,9.52905,156,105,NA,3.6,90,27,NA,NA,106
hua jing 3 hao ,Japonica inbred,Jiangsu,2004,9.255,155,95,NA,3.45,90,24,NA,NA,115
chang nong jing 4 hao ,Japonica inbred,Jiangsu,2004,10.191,156,103,NA,3,92,27,NA,NA,130
gan zao xian56 hao ,Indica inbred,Jiangxi,2004,6.23055,116.9,93.1,NA,3.51,68.1,19.3,130.4,3.3,88.8
gan zao xian57 hao ,Indica inbred,Jiangxi,2004,6.7149,111,93.2,NA,3.15,83.5,23.7,118.9,2.3,99.3
gan zao xian58 hao ,Indica inbred,Jiangxi,2004,6.6918,111.8,86.8,NA,3.195,73.6,25.1,122.4,2.4,90.1
gan wan xian35 hao ,Indica inbred,Jiangxi,2004,5.0694,120.3,109.1,NA,3.03,65.7,22.2,134.9,3.5,88.6
gan wan xian36 hao ,Indica inbred,Jiangxi,2004,7.1985,131.3,101.6,NA,2.505,75,24.7,143.8,3.4,107.9
quan zhen 10 hao ,Indica inbred,Fujian,2004,6.53175,118,100,22,NA,82,26.5,115,2.5,94.3
dong nan 201,Indica inbred,Fujian,2004,7.5,145,105,23.5,NA,90,25,NA,2.8,NA
ken yu 28 hao ,Japonica inbred,Hebei,2004,9.0105,172,110,16.9,NA,NA,24.5,NA,NA,NA
chang A12,Japonica inbred,Hebei,2004,9.141,163,98,18,NA,95,25,NA,NA,NA
3you 18,Japonica hybrid,Henan,2004,7.7835,150,115,21.3,NA,80,26.3,NA,1.8,180
yu za 34,Japonica hybrid,Yunnan,2004,10.419,175,100,20.3,NA,NA,24,NA,1.8,140
dian za 33,Japonica hybrid,Yunnan,2004,10.338,172.5,107.5,22,NA,84,23.7,NA,1.7,145
yun jing you 1 hao ,Japonica inbred,Yunnan,2004,7.97445,180,92.6,19.2,NA,NA,25.5,NA,2.6,72
yun c hao 7 hao ,Indica inbred,Yunnan,2004,8.05125,155,110,23.4,NA,NA,27.5,NA,NA,147
hong cheng 20,Indica inbred,Yunnan,2004,9.5445,154,92.5,18,NA,85,26,NA,2.7,125
feng dao 16 hao ,Japonica inbred,Yunnan,2004,8.8551,180,90,17.5,NA,NA,25.5,NA,NA,NA
lin xian21,Indica inbred,Yunnan,2004,8.3325,165,105,25,NA,87.5,29.5,NA,NA,NA
yu xiang zhan ,Indica inbred,Guangxi,2004,7.236,122.5,103,22,2.955,76.9,22.7,135.2,3.1,103.9688
gui xiang 2 hao ,Indica inbred,Guangxi,2004,6.8505,122,110.5,23.1,2.73,79.6,26,116.2,3.3,92.4952
bo xiang zhan 3 hao ,Indica inbred,Guangxi,2004,5.766,124,111.7,23,3.375,77.1,19.7,116.4,3,89.7444
hu hai 537,Indica inbred,Hainan,2004,7.26735,132.7,106.9,21.2,3.2565,85.45,25.7,99.9,NA,85.36455
mu dan jiang 26 hao ,Japonica inbred,Heilongjiang,2004,8.3023,NA,90,17.5,NA,NA,25.1,NA,1.9,NA
long dao 3 hao ,Japonica inbred,Heilongjiang,2004,7.4767,NA,95,18,NA,NA,26.5,NA,1.95,NA
sui jing 7 hao ,Japonica inbred,Heilongjiang,2004,7.451,NA,96,17.5,NA,NA,26.9,NA,2,NA
long dong 104,Japonica inbred,Heilongjiang,2004,7.9509,NA,90.5,16.8,NA,85.75,26.6,NA,1.55,NA
zheng hua fu 9 hao ,Japonica inbred,Henan,2004,7.4235,157,107.5,21,3.75,90.2,25.1,NA,1.6,108.9
ma ba yin zhan ,Indica inbred,Guangdong,2004,4.7385,108,NA,NA,NA,NA,NA,NA,NA,NA
99zao 677,Indica inbred,Hunan,2004,7.395,111.5,85,NA,3,85,25.5,115,2.2,97.75
dong zhong 5 hao ,Indica inbred,Hubei,2004,6.28365,147.9,117.9,24.5,2.805,74.7,23.99,140.9,3.6,105.3
song liao 5 hao ,Japonica inbred,Jilin,2004,8.3948,138,98,20,NA,NA,30,NA,NA,NA
ai hua 5 hao ,Indica inbred,Hunan,2004,6.86085,109.5,95.8,24.4,NA,85.1,27.2,98,NA,83.398
dong jing za 3 hao ,Japonica hybrid,Hubei,2004,7.37745,126.9,88.4,17,2.955,84.5,27.29,115.1,1.8,97.4
yun 9707,Japonica inbred,Anhui,2004,8.226,125,80,NA,NA,85,30,85,NA,72.25
tong yu 223,Japonica inbred,Jilin,2004,8.631,142,101.3,25,NA,95,26,NA,NA,NA
dao guang 1 hao ,Japonica inbred,Jilin,2004,7.618,137,110,21,NA,90,27,NA,NA,NA
wan dao 76,Japonica hybrid,Anhui,2004,8.95215,148,120,NA,NA,83,26,160,NA,132.8
wan dao 78,Japonica hybrid,Anhui,2004,9.867,140,113,NA,NA,80,26,NA,NA,NA
wan dao 80,Japonica hybrid,Anhui,2004,8.406,135,102.5,23,NA,80,25,120,NA,96
wan dao 117,Indica inbred,Anhui,2004,7.9425,NA,NA,NA,NA,85,26,NA,NA,NA
shen you 254,Japonica hybrid,Shanghai,2004,9.549,152.5,85,NA,NA,80,27,NA,NA,NA
ji jing 95 hao ,Japonica inbred,Jilin,2004,8.7506,145,105,18,NA,95,24,NA,NA,NA
jiu dao 48 hao ,Japonica inbred,Jilin,2004,8.496,143,109,18,NA,90,25.8,NA,NA,NA
chang xuan 14 hao ,Japonica inbred,Jilin,2004,8.2725,140,105,19,NA,90,24.5,NA,NA,NA
tong yu 105,Japonica inbred,Jilin,2004,8.6025,145,99.8,23,NA,95,26,NA,NA,NA
jiu dao 46 hao ,Japonica inbred,Jilin,2004,8.22,140,107,20.2,NA,90,25,NA,NA,NA
jiu dao 45 hao ,Japonica inbred,Jilin,2004,7.4355,138,104,19.2,NA,90,26,NA,NA,NA
ji nong da 19 hao ,Japonica inbred,Jilin,2004,8.175,132,98,23.5,NA,90,26,NA,NA,NA
jiu dao 47 hao ,Japonica inbred,Jilin,2004,8.4,139,103,19.8,NA,90,25,NA,NA,NA
jiu dao 44 hao ,Japonica inbred,Jilin,2004,7.8765,130,100,17.8,NA,90,28,NA,NA,NA
jiu dao 43 hao ,Japonica inbred,Jilin,2004,7.7635,143,100,16.7,NA,90,24.5,NA,NA,NA
yan jing 26 hao ,Japonica inbred,Jilin,2004,7.98,131,93.6,17.1,NA,80.6,26,NA,NA,NA
bi jing 42 hao ,Japonica inbred,Guizhou,2004,5.5635,175,95,NA,2.775,85,27,NA,1.7,NA
xiujing 11 hao ,Japonica inbred,Yunnan,2004,9.5625,171,100,18,NA,NA,23.5,NA,NA,94.5
chang jing 8 hao ,Japonica inbred,Yunnan,2004,7.665,173,97.5,18.5,NA,88.5,25.5,NA,NA,NA
xing jing 4 hao ,Japonica inbred,Neimeng,2004,7.7565,NA,NA,NA,NA,NA,NA,NA,NA,NA
gu yu xiang dao 1 hao ,Japonica inbred,Neimeng,2004,8.8485,NA,105,20,NA,90,25,NA,2,NA
xiang zao 143,Indica inbred,Hunan,2004,3.2775,108,75,NA,3.45,81.1,26.95,100,3.6,81.1
xiang zao 143,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,6.65535,107.4,75.6,17.9,3.81,81,26.4,87.2,3.3,70.632
feng hua zhan ,Indica inbred,Jiangxi,2005,7.10115,121.9,92.2,NA,3.45,80.5,21.6,111.6,3.2,89.8
jin yuan 85,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,10.242,157.2,89.7,19.8,NA,93.6,26.2,97.2,NA,90.9792
ji jing 105,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.309,152.7,96.5,16.8,NA,89.6,24,118.3,NA,105.9968
xiu shui 09,Japonica inbred,Shanghai,2005,8.9895,159,95,NA,3.3,93,26.75,NA,NA,NA
yongyou 6 hao ,Japonica hybrid,Zhejiang,2005,8.751,156.4,NA,NA,2.01,72.9,24.7,NA,2.3,210.1
long jing 14 hao ,Japonica inbred,Heilongjiang,2005,8.0745,NA,86.5,18.8,NA,NA,26.4,NA,1.8,NA
shang yu 397,Japonica inbred,Heilongjiang,2005,7.631,NA,85,16,NA,NA,26,NA,1.75,NA
gui nong zhan ,Indica inbred,Guangdong,2005,6.36105,114.5,92.75,19.75,3.135,82.85,22.3,121,NA,100.2485
feng mei zhan ,Indica inbred,Hainan,2005,8.01675,146.5,92.7,20.3,3.279,88.9,21.5,125.2,3,111.3028
yu xiang you zhan ,Indica inbred,Guangdong,2005,6.9492,127,106,21.05,3.045,83.8,22.6,132,NA,110.616
yin hua zhan 2 hao ,Indica inbred,Guangdong,2005,6.4197,131.5,102.35,20.2,3.3825,81.35,19.4,122.9,NA,99.97915
yang guang 200,Japonica inbred,Shandong,2005,8.634,154,95,16,3.48,NA,27.3,NA,1.7,92.2
chang you 2 hao ,Japonica hybrid,Jiangsu,2005,9.3915,164,110,NA,2.55,91,26,NA,NA,160
jin yuan 9540,Japonica inbred,Liaoning,2005,7.791,165,110,20,NA,95,26,NA,1.8,NA
jia yu 253,Indica inbred,Zhejiang,2005,7.5795,107.1,84.3,17.8,3.12,75.2,26,141.2,2.2,106.2
shen dao 2 hao ,Japonica inbred,Liaoning,2005,9.276,159.5,97.5,17,NA,NA,25.5,NA,1.7,NA
liao you 2006,Japonica hybrid,Liaoning,2005,9.4935,165,115,30,NA,90.3,25,NA,2.1,NA
tie jing 7 hao ,Japonica inbred,Liaoning,2005,10.1325,151.5,100,17.5,NA,NA,26,NA,NA,NA
shen you 693,Japonica hybrid,Shanghai,2005,8.8965,155,100,NA,NA,90,26,NA,NA,NA
jia yu 21,Indica inbred,Zhejiang,2005,7.4625,106.9,85.6,20.1,3.21,82.3,25.3,120.7,3,99.3
liao you 1052,Japonica hybrid,Liaoning,2005,9.555,160,109,18,NA,NA,25,NA,2,NA
dong zao 18,Indica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,6.7521,113.6,91.6,20.4,3.48,79.5,24.9,108.6,3.4,86.337
yongyou 4 hao ,Japonica hybrid,Jiangxi,2005,7.0257,118.8,107.8,NA,2.535,84.7,26.6,131.9,2.5,111.7
liang you pei jing ,Japonica hybrid,Henan,2005,9.8115,147.5,118.4,22.3,3.675,85,24.2,NA,2.4,173.6
chang you 3 hao ,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.006,148.1,108.2,18.6,2.82,80.2,28,152,1.7,121.904
zhongzuo9843,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,8.6325,173.2,104,19.8,NA,88.7,25.3,115.1,NA,102.0937
zhong jing you 1 hao ,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.141,175.2,103.9,19.4,2.7,83.3,26.4,172.4,NA,143.6092
xin dao 10 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,8.919,177.8,102.5,16.6,NA,83.2,23.6,135.7,NA,112.9024
liao you 853,Japonica hybrid,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,10.0185,156.3,104.6,18.1,NA,84.7,25.8,129.8,NA,109.9406
liao jing 9 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.7515,156.2,104.8,17.3,NA,92.8,24.9,115.2,NA,106.9056
shen dao 5 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.504,155.3,91.9,15.7,NA,92.8,26.3,98.8,NA,91.6864
jin dao 8 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,10.2195,155.9,98.4,18.3,NA,86.1,27.5,79,NA,68.019
shen nong 9741,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.5625,158.2,90.3,15.2,NA,83.7,23.8,102.4,NA,85.7088
liao xing 8 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.603,156,85.5,16,NA,87.8,21.2,110.5,NA,97.019
ji jing 104,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.351,152.7,93.1,16.4,NA,89.5,25.5,89.8,NA,80.371
jiu dao 53 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,8.9115,152,99.2,17.5,NA,85.7,23.4,98.2,NA,84.1574
ji jing 501,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,9.2775,152.1,93.9,17.3,NA,88.7,24.3,107.1,NA,94.9977
ji jing 88 hao ,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,8.2875,153.5,95,17.6,NA,88,21.2,134.2,NA,118.096
tong yu 403,Japonica inbred,Ministry of Agriculture and Rural Affairs of the People��s Republic of China,2005,8.3205,145.7,95.6,18.2,NA,80.4,24,116.5,NA,93.666
shen nong 016,Japonica inbred,Liaoning,2005,9.345,160,105,18,NA,90,25,NA,1.8,NA
zhong jia 3 hao ,Indica inbred,Jiangxi,2005,5.34435,124.5,105.7,NA,3.225,73.5,20,122.5,3.6,90
zhong zao 27,Indica inbred,Jiangxi,2005,6.58245,106.2,90.4,NA,3.09,83.6,29.2,102.9,2.8,86
zhong zu 3 hao ,Indica inbred,Jiangxi,2005,6.53115,107.1,78.4,NA,3.195,79.6,25.2,112.7,2.1,89.7
zhong jia zao 2 hao ,Indica inbred,Jiangxi,2005,6.81315,107,83.6,NA,3.12,81.9,26.3,112.8,3.3,92.4
zhong you zao 13 hao ,Indica inbred,Jiangxi,2005,6.6114,108.5,83.5,NA,3.78,77.6,24.7,102.8,NA,79.8
zhong jia jing 21,Japonica inbred,Zhejiang,2005,8.6025,157.7,NA,NA,3.36,94.6,30.6,89.2,1.8,84.4
xiu shui 417,Japonica inbred,Zhejiang,2005,6.7485,119,NA,NA,3.51,85.3,26.5,93.1,1.8,79.8
zhe jing 40,Japonica inbred,Zhejiang,2005,7.383,136.5,NA,NA,3.465,91.1,26.3,NA,NA,92.8
zhe jing 50,Japonica inbred,Zhejiang,2005,8.3625,151.8,NA,NA,3.435,90.6,25.4,NA,1.8,100.3
jia s hao 2 hao ,Japonica inbred,Zhejiang,2005,7.4325,139.4,NA,NA,3.195,87.3,25.7,115.9,1.7,101.3
yuan jing 35,Japonica inbred,Zhejiang,2005,9.345,149,NA,NA,3.51,89,24.8,NA,1.8,108.5
hang 43,Japonica inbred,Zhejiang,2005,8.4585,157.3,NA,NA,2.985,94.3,28.1,122.6,1.7,115.4
xiu shui 03,Japonica inbred,Zhejiang,2005,7.0215,121,NA,NA,3.78,89.7,25.1,91.4,1.7,81.9858
zhe you 9 hao ,Japonica hybrid,Zhejiang,2005,9.192,154.2,NA,NA,2.505,86,27,NA,1.7,147.8
jia you 1 hao ,Japonica hybrid,Zhejiang,2005,8.6925,160,NA,NA,2.31,86.6,25.7,182.7,1.8,158.2182
jia le you 2 hao ,Japonica hybrid,Zhejiang,2005,9.0105,161,NA,NA,2.505,81.8,26.3,184.2,1.8,150.6756
tai ji 2 hao xuan 6,Indica inbred,Sichuan,2005,8.3835,NA,92,NA,NA,87.5,30,NA,2.9,NA
sheng ba si miao ,Indica inbred,Guangdong,2005,5.2227,112,NA,22.5,3.045,81.45,16.1,137,NA,111.5865
hua xiao hei 1 hao ,Indica inbred,Guangdong,2005,5.286,NA,NA,NA,NA,NA,NA,NA,NA,NA
gan zao xian59 hao ,Indica inbred,Jiangxi,2005,6.8382,112,81.7,NA,3.21,85.6,23.2,102.6,3,87.8
